Step,Energy_eV_per_atom,NC
45600,-21.164701,0.3002
45700,-21.233604,0.3002
45800,-21.264074,0.3002
45900,-21.320243,0.3002
46000,-21.370407,0.3002
46100,-21.398532,0.3002
46200,-21.663564,0.3002
46300,-21.729363,0.3002
46400,-21.760777,0.3002
46500,-21.791885,0.2963
46600,-21.863945,0.2963
46700,-22.084095,0.2963
46800,-22.291204,0.2963
46900,-22.349749,0.2963
47000,-22.418084,0.2963
47100,-22.446575,0.2963
47200,-22.466236,0.2963
47300,-22.497153,0.2963
47400,-22.748907,0.2963
47500,-22.811304,0.2963
47600,-22.823029,0.2963
47700,-22.878807,0.2963
47800,-22.919073,0.2963
47900,-22.940941,0.2963
48000,-22.972891,0.2963
48100,-22.984163,0.2963
48200,-23.049746,0.2924
48300,-23.130574,0.2924
48400,-23.158163,0.2924
48500,-23.283212,0.2924
48600,-23.496945,0.2924
48700,-23.533127,0.2924
48800,-23.598785,0.2924
48900,-23.656257,0.2924
49000,-23.904180,0.2924
49100,-23.956626,0.2924
49200,-24.001446,0.2924
49300,-24.074639,0.2924
49400,-24.088113,0.2924
49500,-24.135793,0.2924
49600,-24.213772,0.2924
49700,-24.281337,0.2924
49800,-24.360960,0.2924
49900,-24.436578,0.2924
50000,-24.621792,0.2924
50100,-24.659937,0.2924
50200,-24.771984,0.2924
50300,-24.799270,0.2924
50400,-25.448129,0.2924
50500,-25.941217,0.2924
50600,-26.075110,0.2924
50700,-26.216172,0.2924
50800,-26.543262,0.2963
50900,-26.705174,0.2963
51000,-26.831807,0.2963
51100,-26.905099,0.2963
51200,-27.047295,0.2963
51300,-27.149633,0.2963
51400,-27.518762,0.2963
51500,-27.571677,0.2963
51600,-27.817243,0.2963
51700,-27.877452,0.2963
51800,-27.901634,0.2963
51900,-27.935180,0.2963
52000,-28.049035,0.2963
52100,-28.116272,0.2963
52200,-28.150082,0.2963
52300,-28.187496,0.2963
52400,-28.394759,0.2963
52500,-28.421067,0.2963
52600,-28.519210,0.2963
52700,-28.560686,0.2963
52800,-28.615856,0.2963
52900,-28.676499,0.2963
53000,-28.908991,0.2963
53100,-29.018172,0.2963
53200,-29.062143,0.2963
53300,-29.125413,0.2963
53400,-29.245737,0.2963
